transaction_id,customer_id,device_id,merchant_id,timestamp,amount,payment_method,is_international,merchant_category,ip_address_risk_score,device_trust_score,txn_count_last_24h,avg_amount_last_24h,merchant_diversity_last_7d,device_change_flag,location_change_flag,authentication_method,otp_success_rate_customer,past_fraud_count_customer,past_disputes_customer,merchant_historical_fraud_rate,hour_of_day,day_of_week,is_weekend,is_fraud,historical_fraud_rate,velocity_24h,velocity_1h,velocity_7d,customer_tenure_days,location_risk_score,transaction_success_rate_customer,ip_address_country_match,previous_chargeback_count,time_of_day,amount_deviation,device_customer_sharing,velocity_ratio_1h_24h,velocity_ratio_24h_7d,combined_risk_index,pred_prob
12513,4947,21807,747,2024-03-12 23:55:00,8024.74,UPI,0,Fashion,0.8531777877827218,0.1203289023925989,3,10086.78,3,0,0,OTP,0.8301280589212795,0,4,0.041543326,23,1,0,1,0.8,3,0,9,0,0,0.8301280589212795,1,4,23,-831.3924999999999,7,0.0,0.33329630041106545,0.6001962210562968,0.4182468490567012
46541,4694,20897,768,2024-03-12 23:55:00,2288.03,UPI,0,Travel,0.974337324,0.005989654,0,10504.55,4,0,1,NONE,0.7837285273244423,1,4,0.089014747,23,1,0,0,0.8333333333333334,0,0,0,0,1,0.7837285273244423,1,4,23,-6845.157999999999,3,0.0,0.0,0.7755728824666667,0.43245468321826436
4708,3193,24723,794,2024-03-12 23:57:00,7032.43,CARD,0,Electronics,0.8692073337382142,0.9297768340133526,3,7575.62,11,0,0,3DS,0.584141709,1,4,0.1216668951293074,23,1,0,0,0.8333333333333334,3,0,9,0,0,0.584141709,1,4,23,-3003.6688235294114,6,0.0,0.33329630041106545,0.4658068790113219,0.3090821385311937
46655,1678,23070,531,2024-03-13 00:00:00,1530.54,UPI,0,Travel,0.2112964765093975,0.2123925556278084,8,3545.12,3,0,0,OTP,0.8177232298755055,1,1,0.040648324,0,2,0,0,0.6666666666666666,8,1,24,0,0,0.8177232298755055,1,1,0,-9751.403333333335,7,0.1249843769528809,0.333319445023124,0.3623734299605909,0.28079709829480826
9491,1901,24573,602,2024-03-13 00:00:00,16048.89,CARD,0,Travel,0.1684559783957457,0.7840789016520748,0,14965.92,4,0,1,OTP,0.8891707287044786,0,2,0.084516749,0,2,0,0,0.6666666666666666,0,0,0,0,1,0.8891707287044786,1,2,0,3810.459999999999,4,0.0,0.0,0.3439576963216421,0.3823948033838221
19144,3617,22914,565,2024-03-13 00:03:00,15214.03,UPI,1,Utilities,0.219915872810963,0.9949871877093442,2,10243.19,1,0,0,OTP,0.6979353059273861,1,4,0.066346022,0,2,0,0,0.8333333333333334,2,0,6,0,0,0.6979353059273861,1,4,0,3965.4914285714294,8,0.0,0.33327778703549404,0.24691319536808676,0.29422806313977473
36211,4999,26754,581,2024-03-13 00:04:00,10525.87,NETBANKING,0,Grocery,0.034355096,0.7718158382576469,7,4502.69,2,0,0,OTP,0.9817541632880372,2,0,0.1361306299550075,0,2,0,0,0.6666666666666666,7,1,21,0,0,0.9817541632880372,1,0,0,-1240.5599999999995,8,0.142836737608913,0.3333174610732822,0.21650282047280545,0.12775025503317683
16546,4899,22649,689,2024-03-13 00:09:00,16021.82,UPI,0,Fashion,0.005191471,0.4026762939043374,9,9187.98,9,0,0,OTP,0.9538564999279908,2,2,0.072028972,0,2,0,0,0.8,9,2,27,0,0,0.9538564999279908,1,2,0,2187.9799999999996,8,0.22219753360737698,0.3333209881115514,0.2954279769191326,0.22098541955930864
13818,4949,22679,568,2024-03-13 00:11:00,10067.24,UPI,0,Electronics,0.1271944402847215,0.2296843858285396,1,11493.15,2,0,0,OTP,0.7224554245966968,1,3,0.029101212,0,2,0,0,0.8,1,0,3,0,0,0.7224554245966968,1,3,0,1239.2990909090895,6,0.0,0.33322225924691773,0.3580416973197086,0.2572909315419846
29444,1901,28034,556,2024-03-13 00:12:00,12436.82,NETBANKING,0,Utilities,0.5729006047931716,0.3368255288112021,0,6251.94,4,0,0,OTP,0.6038127282615419,1,2,0.001408485,0,2,0,0,0.75,0,0,0,0,0,0.6038127282615419,1,2,0,-119.14833333333263,8,0.0,0.0,0.4547867726757111,0.33469558153721285
21993,3263,29679,646,2024-03-13 00:14:00,16072.37,UPI,0,Travel,0.4961100220506901,0.3244514196651846,4,1286.69,5,0,0,OTP,0.5325243302216005,2,3,0.1174934278304971,0,2,0,0,0.8333333333333334,4,1,12,0,0,0.5325243302216005,1,3,0,6657.2541666666675,7,0.2499375156210947,0.3333055578701775,0.4741080749149362,0.3091995379897529
32370,1113,24256,556,2024-03-13 00:19:00,19807.15,WALLET,0,Travel,0.1118281244155722,0.4241507253160901,6,430.48,4,0,0,OTP,0.4512421314058109,1,3,0.1037154000316492,0,2,0,0,0.8,6,1,18,0,0,0.4512421314058109,1,3,0,9310.792857142858,6,0.16663889351774702,0.3333148158435642,0.3294613722677835,0.14619140621266918
